 x,y,z,P,u,v,w,V
  0.0000,   0.0000,   0.0000,  -0.0000,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.0323,   0.0000,  -0.0026,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.0645,   0.0000,  -0.0055,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.0968,   0.0000,  -0.0059,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.1290,   0.0000,  -0.0058,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.1613,   0.0000,  -0.0055,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.1935,   0.0000,  -0.0052,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.2258,   0.0000,  -0.0049,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.2581,   0.0000,  -0.0046,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.2903,   0.0000,  -0.0044,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.3226,   0.0000,  -0.0044,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.3548,   0.0000,  -0.0044,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.3871,   0.0000,  -0.0047,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.4194,   0.0000,  -0.0052,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.4516,   0.0000,  -0.0060,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.4839,   0.0000,  -0.0071,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.5161,   0.0000,  -0.0085,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.5484,   0.0000,  -0.0103,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.5806,   0.0000,  -0.0125,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.6129,   0.0000,  -0.0154,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.6452,   0.0000,  -0.0188,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.6774,   0.0000,  -0.0230,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.7097,   0.0000,  -0.0283,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.7419,   0.0000,  -0.0350,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.7742,   0.0000,  -0.0437,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.8065,   0.0000,  -0.0557,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.8387,   0.0000,  -0.0732,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.8710,   0.0000,  -0.1010,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.9032,   0.0000,  -0.1491,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.9355,   0.0000,  -0.2396,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.9677,   0.0000,  -0.4149,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   1.0000,   0.0000,  -0.5306,  0.00000,  0.00000,  0.00000,  0.00000
  0.0331,   0.0000,   0.0000,  -0.0027,  0.00000,  0.00000,  0.00000,  0.00000
  0.0331,   0.0323,   0.0000,  -0.0041,  0.00335,  0.00316,  0.00000,  0.00461
  0.0331,   0.0645,   0.0000,  -0.0057,  0.00171,  0.00204,  0.00000,  0.00266
  0.0331,   0.0968,   0.0000,  -0.0059,  0.00070,  0.00142,  0.00000,  0.00158
  0.0331,   0.1290,   0.0000,  -0.0058,  0.00012,  0.00134,  0.00000,  0.00134
  0.0331,   0.1613,   0.0000,  -0.0056, -0.00025,  0.00174,  0.00000,  0.00176
  0.0331,   0.1935,   0.0000,  -0.0053, -0.00053,  0.00258,  0.00000,  0.00263
  0.0331,   0.2258,   0.0000,  -0.0051, -0.00077,  0.00381,  0.00000,  0.00389
  0.0331,   0.2581,   0.0000,  -0.0049, -0.00100,  0.00544,  0.00000,  0.00553
  0.0331,   0.2903,   0.0000,  -0.0047, -0.00123,  0.00744,  0.00000,  0.00754
  0.0331,   0.3226,   0.0000,  -0.0047, -0.00145,  0.00981,  0.00000,  0.00992
  0.0331,   0.3548,   0.0000,  -0.0049, -0.00167,  0.01256,  0.00000,  0.01267
  0.0331,   0.3871,   0.0000,  -0.0052, -0.00190,  0.01569,  0.00000,  0.01580
  0.0331,   0.4194,   0.0000,  -0.0057, -0.00213,  0.01919,  0.00000,  0.01931
  0.0331,   0.4516,   0.0000,  -0.0066, -0.00237,  0.02308,  0.00000,  0.02321
  0.0331,   0.4839,   0.0000,  -0.0077, -0.00263,  0.02738,  0.00000,  0.02750
  0.0331,   0.5161,   0.0000,  -0.0091, -0.00291,  0.03210,  0.00000,  0.03223
  0.0331,   0.5484,   0.0000,  -0.0110, -0.00322,  0.03728,  0.00000,  0.03742
  0.0331,   0.5806,   0.0000,  -0.0134, -0.00360,  0.04300,  0.00000,  0.04315
  0.0331,   0.6129,   0.0000,  -0.0163, -0.00407,  0.04934,  0.00000,  0.04951
  0.0331,   0.6452,   0.0000,  -0.0198, -0.00469,  0.05646,  0.00000,  0.05666
  0.0331,   0.6774,   0.0000,  -0.0242, -0.00553,  0.06458,  0.00000,  0.06482
  0.0331,   0.7097,   0.0000,  -0.0296, -0.00674,  0.07402,  0.00000,  0.07433
  0.0331,   0.7419,   0.0000,  -0.0365, -0.00853,  0.08526,  0.00000,  0.08569
  0.0331,   0.7742,   0.0000,  -0.0454, -0.01128,  0.09898,  0.00000,  0.09962
  0.0331,   0.8065,   0.0000,  -0.0575, -0.01559,  0.11613,  0.00000,  0.11718
  0.0331,   0.8387,   0.0000,  -0.0746, -0.02237,  0.13786,  0.00000,  0.13967
  0.0331,   0.8710,   0.0000,  -0.1004, -0.03245,  0.16511,  0.00000,  0.16827
  0.0331,   0.9032,   0.0000,  -0.1413, -0.04404,  0.19680,  0.00000,  0.20167
  0.0331,   0.9355,   0.0000,  -0.2084, -0.03807,  0.22327,  0.00000,  0.22650
  0.0331,   0.9677,   0.0000,  -0.3129,  0.10323,  0.20317,  0.00000,  0.22789
