 x,y,z,P,u,v,w,V
  0.0000,   0.0000,   0.0000,  -0.0000,  0.00000,  0.00000,  0.00000,  0.00000
  0.0000,   0.0323,   0.0000,   0.0008,  0.03096,  0.00000,  0.00000,  0.03096
  0.0000,   0.0645,   0.0000,   0.0029,  0.06009,  0.00000,  0.00000,  0.06009
  0.0000,   0.0968,   0.0000,   0.0061,  0.08715,  0.00000,  0.00000,  0.08715
  0.0000,   0.1290,   0.0000,   0.0100,  0.11212,  0.00000,  0.00000,  0.11212
  0.0000,   0.1613,   0.0000,   0.0144,  0.13502,  0.00000,  0.00000,  0.13502
  0.0000,   0.1935,   0.0000,   0.0190,  0.15583,  0.00000,  0.00000,  0.15583
  0.0000,   0.2258,   0.0000,   0.0237,  0.17456,  0.00000,  0.00000,  0.17456
  0.0000,   0.2581,   0.0000,   0.0283,  0.19121,  0.00000,  0.00000,  0.19121
  0.0000,   0.2903,   0.0000,   0.0326,  0.20578,  0.00000,  0.00000,  0.20578
  0.0000,   0.3226,   0.0000,   0.0366,  0.21826,  0.00000,  0.00000,  0.21826
  0.0000,   0.3548,   0.0000,   0.0400,  0.22867,  0.00000,  0.00000,  0.22867
  0.0000,   0.3871,   0.0000,   0.0429,  0.23699,  0.00000,  0.00000,  0.23699
  0.0000,   0.4194,   0.0000,   0.0451,  0.24324,  0.00000,  0.00000,  0.24324
  0.0000,   0.4516,   0.0000,   0.0465,  0.24740,  0.00000,  0.00000,  0.24740
  0.0000,   0.4839,   0.0000,   0.0473,  0.24948,  0.00000,  0.00000,  0.24948
  0.0000,   0.5161,   0.0000,   0.0473,  0.24948,  0.00000,  0.00000,  0.24948
  0.0000,   0.5484,   0.0000,   0.0465,  0.24740,  0.00000,  0.00000,  0.24740
  0.0000,   0.5806,   0.0000,   0.0451,  0.24324,  0.00000,  0.00000,  0.24324
  0.0000,   0.6129,   0.0000,   0.0429,  0.23699,  0.00000,  0.00000,  0.23699
  0.0000,   0.6452,   0.0000,   0.0400,  0.22867,  0.00000,  0.00000,  0.22867
  0.0000,   0.6774,   0.0000,   0.0366,  0.21826,  0.00000,  0.00000,  0.21826
  0.0000,   0.7097,   0.0000,   0.0326,  0.20578,  0.00000,  0.00000,  0.20578
  0.0000,   0.7419,   0.0000,   0.0283,  0.19121,  0.00000,  0.00000,  0.19121
  0.0000,   0.7742,   0.0000,   0.0237,  0.17456,  0.00000,  0.00000,  0.17456
  0.0000,   0.8065,   0.0000,   0.0190,  0.15583,  0.00000,  0.00000,  0.15583
  0.0000,   0.8387,   0.0000,   0.0144,  0.13502,  0.00000,  0.00000,  0.13502
  0.0000,   0.8710,   0.0000,   0.0100,  0.11212,  0.00000,  0.00000,  0.11212
  0.0000,   0.9032,   0.0000,   0.0061,  0.08715,  0.00000,  0.00000,  0.08715
  0.0000,   0.9355,   0.0000,   0.0029,  0.06009,  0.00000,  0.00000,  0.06009
  0.0000,   0.9677,   0.0000,   0.0008,  0.03096,  0.00000,  0.00000,  0.03096
  0.0000,   1.0000,   0.0000,   0.0000,  0.00000,  0.00000,  0.00000,  0.00000
  0.0323,   0.0000,   0.0000,  -0.0001,  0.00000, -0.03096,  0.00000,  0.03096
  0.0323,   0.0323,   0.0000,   0.0007,  0.03163, -0.03150,  0.00000,  0.04464
  0.0323,   0.0645,   0.0000,   0.0029,  0.06051, -0.03188,  0.00000,  0.06840
  0.0323,   0.0968,   0.0000,   0.0060,  0.08713, -0.03170,  0.00000,  0.09272
  0.0323,   0.1290,   0.0000,   0.0099,  0.11169, -0.03089,  0.00000,  0.11588
  0.0323,   0.1613,   0.0000,   0.0142,  0.13423, -0.02952,  0.00000,  0.13744
  0.0323,   0.1935,   0.0000,   0.0187,  0.15476, -0.02768,  0.00000,  0.15722
  0.0323,   0.2258,   0.0000,   0.0234,  0.17328, -0.02546,  0.00000,  0.17514
  0.0323,   0.2581,   0.0000,   0.0279,  0.18976, -0.02296,  0.00000,  0.19114
  0.0323,   0.2903,   0.0000,   0.0322,  0.20420, -0.02023,  0.00000,  0.20520
  0.0323,   0.3226,   0.0000,   0.0361,  0.21659, -0.01732,  0.00000,  0.21728
  0.0323,   0.3548,   0.0000,   0.0395,  0.22692, -0.01429,  0.00000,  0.22737
  0.0323,   0.3871,   0.0000,   0.0424,  0.23520, -0.01118,  0.00000,  0.23546
  0.0323,   0.4194,   0.0000,   0.0445,  0.24141, -0.00800,  0.00000,  0.24155
  0.0323,   0.4516,   0.0000,   0.0460,  0.24557, -0.00480,  0.00000,  0.24561
  0.0323,   0.4839,   0.0000,   0.0467,  0.24765, -0.00160,  0.00000,  0.24766
  0.0323,   0.5161,   0.0000,   0.0467,  0.24765,  0.00160,  0.00000,  0.24766
  0.0323,   0.5484,   0.0000,   0.0460,  0.24557,  0.00480,  0.00000,  0.24561
  0.0323,   0.5806,   0.0000,   0.0445,  0.24141,  0.00800,  0.00000,  0.24155
  0.0323,   0.6129,   0.0000,   0.0424,  0.23520,  0.01118,  0.00000,  0.23546
  0.0323,   0.6452,   0.0000,   0.0395,  0.22692,  0.01429,  0.00000,  0.22737
  0.0323,   0.6774,   0.0000,   0.0361,  0.21659,  0.01732,  0.00000,  0.21728
  0.0323,   0.7097,   0.0000,   0.0322,  0.20420,  0.02023,  0.00000,  0.20520
  0.0323,   0.7419,   0.0000,   0.0279,  0.18976,  0.02296,  0.00000,  0.19114
  0.0323,   0.7742,   0.0000,   0.0234,  0.17328,  0.02546,  0.00000,  0.17514
  0.0323,   0.8065,   0.0000,   0.0187,  0.15476,  0.02768,  0.00000,  0.15722
  0.0323,   0.8387,   0.0000,   0.0142,  0.13423,  0.02952,  0.00000,  0.13744
  0.0323,   0.8710,   0.0000,   0.0099,  0.11169,  0.03089,  0.00000,  0.11588
  0.0323,   0.9032,   0.0000,   0.0060,  0.08713,  0.03170,  0.00000,  0.09272
  0.0323,   0.9355,   0.0000,   0.0029,  0.06051,  0.03188,  0.00000,  0.06840
  0.0323,   0.9677,   0.0000,   0.0007,  0.03163,  0.03150,  0.00000,  0.04464
  0.0323,   1.0000,   0.0000,  -0.0001,  0.00000,  0.03096,  0.00000,  0.03096
  0.0645,   0.0000,   0.0000,   0.0001,  0.00000, -0.06009,  0.00000,  0.06009
  0.0645,   0.0323,   0.0000,   0.0009,  0.03188, -0.06033,  0.00000,  0.06824
  0.0645,   0.0645,   0.0000,   0.0031,  0.06029, -0.06016,  0.00000,  0.08517
  0.0645,   0.0968,   0.0000,   0.0062,  0.08616, -0.05916,  0.00000,  0.10452
  0.0645,   0.1290,   0.0000,   0.0099,  0.10994, -0.05724,  0.00000,  0.12395
  0.0645,   0.1613,   0.0000,   0.0141,  0.13180, -0.05445,  0.00000,  0.14260
  0.0645,   0.1935,   0.0000,   0.0186,  0.15177, -0.05090,  0.00000,  0.16008
  0.0645,   0.2258,   0.0000,   0.0231,  0.16984, -0.04675,  0.00000,  0.17615
  0.0645,   0.2581,   0.0000,   0.0275,  0.18597, -0.04210,  0.00000,  0.19068
  0.0645,   0.2903,   0.0000,   0.0318,  0.20014, -0.03706,  0.00000,  0.20355
  0.0645,   0.3226,   0.0000,   0.0356,  0.21233, -0.03174,  0.00000,  0.21469
  0.0645,   0.3548,   0.0000,   0.0390,  0.22252, -0.02618,  0.00000,  0.22406
  0.0645,   0.3871,   0.0000,   0.0418,  0.23070, -0.02048,  0.00000,  0.23161
  0.0645,   0.4194,   0.0000,   0.0439,  0.23686, -0.01467,  0.00000,  0.23732
  0.0645,   0.4516,   0.0000,   0.0453,  0.24099, -0.00881,  0.00000,  0.24116
  0.0645,   0.4839,   0.0000,   0.0461,  0.24308, -0.00294,  0.00000,  0.24310
  0.0645,   0.5161,   0.0000,   0.0461,  0.24308,  0.00294,  0.00000,  0.24310
  0.0645,   0.5484,   0.0000,   0.0453,  0.24099,  0.00881,  0.00000,  0.24116
  0.0645,   0.5806,   0.0000,   0.0439,  0.23686,  0.01467,  0.00000,  0.23732
  0.0645,   0.6129,   0.0000,   0.0418,  0.23070,  0.02048,  0.00000,  0.23161
  0.0645,   0.6452,   0.0000,   0.0390,  0.22252,  0.02618,  0.00000,  0.22406
  0.0645,   0.6774,   0.0000,   0.0356,  0.21233,  0.03174,  0.00000,  0.21469
  0.0645,   0.7097,   0.0000,   0.0318,  0.20014,  0.03706,  0.00000,  0.20355
  0.0645,   0.7419,   0.0000,   0.0275,  0.18597,  0.04210,  0.00000,  0.19068
